City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,kununurra,-15.7667,128.7333,32.72,26,72,7.04,AU,1714189344
163,luderitz,-26.6481,15.1594,13.87,82,0,0.38,NA,1714189515
164,tadine,-21.55,167.8833,24.67,66,95,4.97,NC,1714189516
165,pingnan,23.5543,110.3976,31.55,67,65,2.04,CN,1714189517
166,okahao,-17.885,15.0667,17.69,29,1,2.37,NA,1714189517
167,utrik,11.2278,169.8474,27.47,73,68,7.2,MH,1714189518
168,dickinson,29.4608,-95.0513,23.39,92,77,8.05,US,1714189519
169,impfondo,1.6381,18.0667,22.21,96,99,0.67,CG,1714189520
170,puerto ayora,-0.7393,-90.3518,24.63,89,45,4.09,EC,1714189310
171,gamawa,12.1343,10.5396,28.2,51,100,3.47,NG,1714189521
172,saint-pierre,-21.3393,55.4781,25.98,78,43,2.61,RE,1714189521
173,minas de marcona,-15.2119,-75.1103,15.2,86,75,4.84,PE,1714189522
174,port lincoln,-34.7333,135.8667,17.32,59,99,2.52,AU,1714189258
175,lebu,-37.6167,-73.65,9.4,77,99,2.04,CL,1714189524
176,geraldton,-28.7667,114.6,24.72,47,4,5.16,AU,1714189524
177,tot'ma,59.9747,42.7642,12.66,98,100,2.26,RU,1714189525
178,prince rupert,54.3161,-130.3201,9.55,80,19,0.17,CA,1714189355
179,cherdyn',60.403,56.4787,6.87,95,100,3.23,RU,1714189526
180,mangai,-4.05,19.5333,21.54,90,100,0.93,CD,1714189526
181,kiruna,67.8557,20.2251,-3.63,97,100,4.0,SE,1714189527
182,isafjordur,66.0755,-23.124,-1.13,82,10,2.75,IS,1714189256
183,la ronge,55.1001,-105.2842,-0.07,51,14,3.6,CA,1714189528
184,yamada,39.4667,141.95,19.57,71,100,5.19,JP,1714189532
185,whitehorse,60.7161,-135.0538,6.18,83,21,1.82,CA,1714189267
186,kirkwall,58.9848,-2.9587,6.51,73,100,4.88,GB,1714189534
187,namibe,-15.1961,12.1522,24.24,76,0,0.92,AO,1714189534
188,tan-tan,28.438,-11.1032,16.53,68,100,6.33,MA,1714189535
189,wakkanai,45.4094,141.6739,8.5,91,100,4.72,JP,1714189536
190,taoudenni,22.6783,-3.9836,27.61,26,3,3.59,ML,1714189536
191,champerico,14.3,-91.9167,29.8,68,74,3.78,GT,1714189537
192,madalena,41.2162,-8.3345,6.17,94,100,1.79,PT,1714189537
193,nadym,65.5333,72.5167,-0.06,100,100,3.83,RU,1714189538
194,zagora,30.3484,-5.8365,18.65,28,0,1.88,MA,1714189539
195,ketchikan,55.3422,-131.6461,10.24,75,13,1.81,US,1714189539
196,aioun,16.6614,-9.6149,29.56,22,0,6.11,MR,1714189540
197,hanak,41.2336,42.8472,11.07,82,37,1.05,TR,1714189540
198,kruisfontein,-34.0033,24.7314,13.5,92,2,3.6,ZA,1714189541
199,oranjemund,-28.55,16.4333,17.29,61,0,4.47,NA,1714189541
200,rio gallegos,-51.6226,-69.2181,3.08,76,55,10.35,AR,1714189542
201,goondiwindi,-28.55,150.3167,24.3,36,2,2.36,AU,1714189543
202,qaqortoq,60.7167,-46.0333,-0.17,94,95,3.21,GL,1714189543
203,portland,45.5234,-122.6762,12.56,88,100,1.34,US,1714189544
204,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1714189304
205,haiku-pauwela,20.9219,-156.3051,24.01,85,75,8.23,US,1714189545
206,laibin,23.7,109.2667,30.61,69,82,3.44,CN,1714189545
207,calca,-13.3333,-71.95,10.64,86,46,1.66,PE,1714189546
208,coahuayana de hidalgo,18.7,-103.6583,22.97,88,85,0.97,MX,1714189546
209,griffith,41.5284,-87.4237,15.62,86,40,7.72,US,1714189367
210,robore,-18.3333,-59.75,24.16,67,30,1.76,BO,1714189548
211,carolina beach,34.0352,-77.8936,17.82,85,7,0.89,US,1714189549
212,mascote,-15.5631,-39.3025,21.99,99,32,1.06,BR,1714189549
213,port mathurin,-19.6833,63.4167,26.05,78,20,7.2,MU,1714189550
214,columbiana,40.8884,-80.694,16.18,64,100,0.45,US,1714189550
215,touros,-5.1989,-35.4608,25.83,89,99,4.46,BR,1714189551
216,san jose de feliciano,-30.3845,-58.7517,21.73,99,93,3.33,AR,1714189551
217,kerikeri,-35.2268,173.9474,19.95,60,51,2.52,NZ,1714189552
218,yuzhno-kurilsk,44.0306,145.8556,10.21,86,73,2.62,RU,1714189552
219,jangaon,17.7167,79.1833,34.16,33,25,3.64,IN,1714189553
220,curuzu cuatia,-29.7917,-58.0546,22.63,92,10,1.8,AR,1714189443
221,conception bay south,47.4999,-52.9981,-0.15,84,100,2.92,CA,1714189554
222,mugia,43.1041,-9.2179,9.39,82,100,5.59,ES,1714189554
223,socorro,31.6546,-106.3033,24.56,14,0,9.77,US,1714189555
224,longyearbyen,78.2186,15.6401,-4.09,86,100,3.09,SJ,1714189555
225,olyokminsk,60.3736,120.4264,-0.19,56,100,4.06,RU,1714189556
226,usogorsk,63.4106,48.6872,3.7,100,100,1.37,RU,1714189556
227,sao joao da barra,-21.6403,-41.0511,24.23,74,58,4.09,BR,1714189557
